first_name;last_name;full_name;email;course;category;level_1;level_2;level_3;levels;start_year;end_year;year;title;description;tag_1;tag_2;tag_3;tag_4;tag_5;tag_list;group;path;filename;content_type;identity
BDE;Sciences Po Strasbourg;BDE Sciences Po Strasbourg;bde.sciencespo.strasbourg@gmail.com;Droit du marché intérieur;Annales d'examens;4;;;4;2018;2019;2018-2019;Colle de droit du marché intérieur mars 2018;Colle de droit du marché intérieur mars 2018 de l'année 2018-2019 pour les 4A;DAP;Annales;Droit;Marché Intérieur;;DAP,Annales,Droit,Marché Intérieur;Sciences Po Strasbourg;C:\Users\Gabriel\Downloads\Sciences Po Strasbourg\4A\DAP\Annales 2019\Colle de droit du marché intérieur mars 2018.pdf;Colle de droit du marché intérieur mars 2018.pdf;pdf;FALSE
BDE;Sciences Po Strasbourg;BDE Sciences Po Strasbourg;bde.sciencespo.strasbourg@gmail.com;Droit administratif;Annales d'examens;4;;;4;2018;2019;2018-2019;Droit administratif mai 2018;Droit administratif mai 2018 de l'année 2018-2019 pour les 4A;DAP;Annales;Droit;Administratif;;DAP,Annales,Droit,Administratif;Sciences Po Strasbourg;C:\Users\Gabriel\Downloads\Sciences Po Strasbourg\4A\DAP\Annales 2019\Droit administratif mai 2018.pdf;Droit administratif mai 2018.pdf;pdf;FALSE
BDE;Sciences Po Strasbourg;BDE Sciences Po Strasbourg;bde.sciencespo.strasbourg@gmail.com;Droit de l'urbanisme;Annales d'examens;4;;;4;2018;2019;2018-2019;Droit de l'urbanisme et de l'environnement janvier 2018;Droit de l'urbanisme et de l'environnement janvier 2018 de l'année 2018-2019 pour les 4A;DAP;Annales;Droit;Urbanisme de l'environnement;;DAP,Annales,Droit,Urbanisme de l'environnement;Sciences Po Strasbourg;C:\Users\Gabriel\Downloads\Sciences Po Strasbourg\4A\DAP\Annales 2019\Droit de l_urbanisme et de l_environnement janvier 2018.pdf;Droit de l_urbanisme et de l_environnement janvier 2018.pdf;pdf;FALSE
BDE;Sciences Po Strasbourg;BDE Sciences Po Strasbourg;bde.sciencespo.strasbourg@gmail.com;Droit des sociétés;Annales d'examens;4;;;4;2018;2019;2018-2019;Droit des sociétés janvier 2018;Droit des sociétés janvier 2018 de l'année 2018-2019 pour les 4A;DAP;Annales;Droit;Sociétés;;DAP,Annales,Droit,Sociétés;Sciences Po Strasbourg;C:\Users\Gabriel\Downloads\Sciences Po Strasbourg\4A\DAP\Annales 2019\Droit des sociétés janvier 2018.pdf;Droit des sociétés janvier 2018.pdf;pdf;FALSE
BDE;Sciences Po Strasbourg;BDE Sciences Po Strasbourg;bde.sciencespo.strasbourg@gmail.com;Economie des questions sociales;Annales d'examens;4;;;4;2018;2019;2018-2019;Droit du marché intérieur mai 2018;Droit du marché intérieur mai 2018 de l'année 2018-2019 pour les 4A;DAP;Annales;Droit;Marché Intérieur;;DAP,Annales,Droit,Marché Intérieur;Sciences Po Strasbourg;C:\Users\Gabriel\Downloads\Sciences Po Strasbourg\4A\DAP\Annales 2019\Droit du marché intérieur mai 2018.pdf;Droit du marché intérieur mai 2018.pdf;pdf;FALSE
BDE;Sciences Po Strasbourg;BDE Sciences Po Strasbourg;bde.sciencespo.strasbourg@gmail.com;Economie des questions sociales;Annales d'examens;4;;;4;2018;2019;2018-2019;Economie des questions sociales mai 2018;Economie des questions sociales mai 2018 de l'année 2018-2019 pour les 4A;DAP;Annales;Economie;Questions Sociales;;DAP,Annales,Economie,Questions Sociales;Sciences Po Strasbourg;C:\Users\Gabriel\Downloads\Sciences Po Strasbourg\4A\DAP\Annales 2019\Economie des questions sociales mai 2018.pdf;Economie des questions sociales mai 2018.pdf;pdf;FALSE
BDE;Sciences Po Strasbourg;BDE Sciences Po Strasbourg;bde.sciencespo.strasbourg@gmail.com;Economie européenne;Annales d'examens;4;;;4;2018;2019;2018-2019;Economie européenne janvier 2018;Economie européenne janvier 2018 de l'année 2018-2019 pour les 4A;DAP;Annales;Economie;Europe;UE;DAP,Annales,Economie,Europe,UE;Sciences Po Strasbourg;C:\Users\Gabriel\Downloads\Sciences Po Strasbourg\4A\DAP\Annales 2019\Economie européenne janvier 2018.pdf;Economie européenne janvier 2018.pdf;pdf;FALSE
BDE;Sciences Po Strasbourg;BDE Sciences Po Strasbourg;bde.sciencespo.strasbourg@gmail.com;Economie publique;Annales d'examens;4;;;4;2018;2019;2018-2019;Economie publique janvier 2018;Economie publique janvier 2018 de l'année 2018-2019 pour les 4A;DAP;Annales;Economie;Publique;;DAP,Annales,Economie,Publique;Sciences Po Strasbourg;C:\Users\Gabriel\Downloads\Sciences Po Strasbourg\4A\DAP\Annales 2019\Economie publique janvier 2018.pdf;Economie publique janvier 2018.pdf;pdf;FALSE
BDE;Sciences Po Strasbourg;BDE Sciences Po Strasbourg;bde.sciencespo.strasbourg@gmail.com;Histoire de la Vème République 1988-2017;Annales d'examens;4;;;4;2018;2019;2018-2019;Histoire de la Vème République 1988-2017 mai 2018;Histoire de la Vème République 1988-2017 mai 2018 de l'année 2018-2019 pour les 4A;DAP;Annales;Histoire;Ve République;;DAP,Annales,Histoire,Ve République;Sciences Po Strasbourg;C:\Users\Gabriel\Downloads\Sciences Po Strasbourg\4A\DAP\Annales 2019\Histoire de la Vème République 1988-2017 mai 2018.pdf;Histoire de la Vème République 1988-2017 mai 2018.pdf;pdf;FALSE
BDE;Sciences Po Strasbourg;BDE Sciences Po Strasbourg;bde.sciencespo.strasbourg@gmail.com;Droits des sociétés;Annales d'examens;4;;;4;2019;2020;2019-2020;Droits des sociétés janvier 2020;Droits des sociétés janvier 2020 de l'année 2019-2020 pour les 4A;DAP;Annales;Droit;Sociétés;;DAP,Annales,Droit,Sociétés;Sciences Po Strasbourg;C:\Users\Gabriel\Downloads\Sciences Po Strasbourg\4A\DAP\Annales 2020\Droits des sociétés janvier 2020.pdf;Droits des sociétés janvier 2020.pdf;pdf;FALSE
